dataset,experiment,30%,50%,70%
ETTm2,preconditioned_cg,0.0158,0.0179,-
ETTm2,fourier_cg,0.0159,0.0177,-
ETTm2,annealed_obs_mask,-,-,0.0172(r)
ETTm2,multiscale_cascade,-,-,0.0207
ETTm2,periodic_correction,(r),-,0.0176
mujoco,temporal_kernel_sigma_y,0.0094,0.0072,0.0167
mujoco,freq_dependent_sigma_y,0.0359,0.0501,0.0797
mujoco,annealed_sigma_y,0.0141,0.0124,0.0246
mujoco,spectral_jacobian,0.0098,0.0143,0.0246
mujoco,decomp_proj_jacobian,0.0148,0.0186,0.0279
mujoco,hybrid_jac_decomp,0.0120,0.0149,0.0224
mujoco,freq_gated_score,0.0176,0.0147,0.0293
mujoco,trend_seasonal_score,0.0120,0.0140,0.0249
mujoco,decomp_consistency,0.0995,0.1161,0.1325
mujoco,warmstart_cg,0.0116,0.0134,0.0292
mujoco,preconditioned_cg,0.0178,0.0140,0.0232
mujoco,fourier_cg,0.0118,0.0215,0.0373
mujoco,annealed_obs_mask,0.0203,0.0185,0.0285
mujoco,multiscale_cascade,0.0123,0.0126,0.0262
mujoco,periodic_correction,0.0082,0.0111,0.0252
sine,temporal_kernel_sigma_y,-,-,-
sine,freq_dependent_sigma_y,-,-,-
sine,annealed_sigma_y,-,-,-
sine,spectral_jacobian,-,-,-
sine,decomp_proj_jacobian,-,-,-
sine,hybrid_jac_decomp,-,-,-
sine,freq_gated_score,-,-,-
sine,trend_seasonal_score,-,-,-
sine,decomp_consistency,-,-,-
sine,warmstart_cg,-,-,-
sine,preconditioned_cg,-,-,-
sine,fourier_cg,-,-,-
sine,annealed_obs_mask,-,-,-
sine,multiscale_cascade,-,-,-
sine,periodic_correction,-,-,-
electricity,temporal_kernel_sigma_y,-,-,-
electricity,freq_dependent_sigma_y,-,-,-
electricity,annealed_sigma_y,-,-,-
electricity,spectral_jacobian,-,-,-
electricity,decomp_proj_jacobian,-,-,-
electricity,hybrid_jac_decomp,-,-,-
electricity,freq_gated_score,-,-,-
electricity,trend_seasonal_score,-,-,-
electricity,decomp_consistency,-,-,-
electricity,warmstart_cg,-,-,-
electricity,preconditioned_cg,-,-,-
electricity,fourier_cg,-,-,-
electricity,annealed_obs_mask,-,-,-
electricity,multiscale_cascade,-,-,-
electricity,periodic_correction,-,-,-
